eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	90000000	11.0217	14368.5	14247	0	32.9018	2.98519	4728.62	4365.99	0	-314.166	117.19	0	0
-1	7000	86117412	5.2854	62.3021	34.3667	0	4.21544	0.797563	56.0773	33.7971	0	0.228651	1.04102	0	0
0	7000	85690749	5.11444	53.5088	27.3513	0	4.01674	0.785372	46.2079	25.6646	0	0.15994	0.850115	0	0
2	7000	359846	36.77	1564.93	212.889	0	40.3652	1.09777	1711.42	227.189	0	-0.00481828	0.130262	0	0
4	7000	54728	52.5995	2961.35	194.641	0	61.0042	1.15979	3424.51	215.722	0	-0.00362181	0.0513397	0	0
6	7000	10047	63.8574	4280.88	203.118	0	76.808	1.2028	5139.52	234.769	0	-0.00234021	0.0341512	0	0
