eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	9000	107.305	14710.4	3196.02	0	33.1985	0.309385	4863.98	1301.62	0	0.027168	0.268249	0	0
-1	7000	9000	13.7796	314.686	124.81	0	10.6204	0.770734	266.46	120.116	0	0.12598	0.584752	0	0
0	7000	8996	13.7498	311.86	122.803	0	10.5797	0.769445	262.767	117.299	0	0.120642	0.57683	0	0
1	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7000	4	80.75	6671.75	151.188	0	102.091	1.26428	8571.71	327.869	0	0.0209683	0.0108024	0	0
3	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
