eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	90000000	11.0217	14368.5	14247	0	32.9018	2.98519	4728.62	4365.99	0	-314.166	117.19	0	0
-1	7000	89992463	13.6084	302.43	117.24	0	10.4669	0.76915	254.794	112.356	0	0.119771	0.559598	0	0
0	7000	89972222	13.5934	300.829	116.048	0	10.4472	0.76855	252.839	110.826	0	0.117097	0.554462	0	0
1	7000	8312	79.0508	7180.78	931.758	0	93.0918	1.17762	8383.14	1024.16	0	-0.011697	0.136455	0	0
2	7000	11652	80.6643	7463.44	956.713	0	100.318	1.24364	9134.31	1042.26	0	-0.0226766	0.134637	0	0
3	7000	151	109.325	12812.6	860.802	0	152.077	1.39106	17489.4	863.601	0	-0.0279313	0.0628754	0	0
4	7000	124	109.121	12845.7	938.316	0	160.336	1.46934	18439.3	943.281	0	-0.0365678	0.069637	0	0
5	7000	1	119	14161	0	0	177.34	1.49026	21103.5	0	0	0	-0.00840336	0	0
6	7000	1	135	18225	0	0	180.554	1.33744	24374.8	0	0	0	-0.00740741	0	0
