eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	90000000	11.0217	14368.5	14247	0	32.9018	2.98519	4728.62	4365.99	0	-314.166	117.19	0	0
-1	7000	89992463	13.6084	302.43	117.24	0	10.4669	0.76915	254.794	112.356	0	0.119771	0.559598	0	0
0	7000	89980283	13.5998	301.537	116.582	0	10.4551	0.768765	253.659	111.472	0	0.118125	0.556791	0	0
1	7000	4901	75.9129	6698.87	936.104	0	92.7182	1.22138	8102	1063.49	0	-0.0138558	0.149267	0	0
2	7000	7139	77.415	6937.7	944.612	0	100.359	1.29638	8827.02	1057.69	0	-0.027846	0.144699	0	0
3	7000	72	102.403	11324	837.657	0	157.7	1.53999	16995	846.124	0	-0.0423277	0.0701155	0	0
4	7000	67	107	12333	883.97	0	169.287	1.58212	19032.8	919.096	0	-0.0418771	0.0678636	0	0
5	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	7000	1	76	5776	0	0	178.321	2.34634	13552.4	0	0	0	-0.0131579	0	0
