eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	90000000	11.0217	14368.5	14247	0	32.9018	2.98519	4728.62	4365.99	0	-314.166	117.19	0	0
-1	7000	86117412	5.2854	62.3021	34.3667	0	4.21544	0.797563	56.0773	33.7971	0	0.228651	1.04102	0	0
0	7000	86033406	5.25175	60.4867	32.9058	0	4.17215	0.79443	53.8476	31.9365	0	0.210114	1.00265	0	0
2	7000	79669	38.8301	1832.06	324.276	0	46.9851	1.21002	2203.06	378.619	0	-0.0091261	0.189315	0	0
4	7000	4012	55.3903	3424.56	356.471	0	75.0764	1.35541	4605.25	446.74	0	-0.0118716	0.0981331	0	0
6	7000	308	68.9253	5120.67	369.972	0	101.291	1.46958	7457.65	476.132	0	-0.014223	0.0633688	0	0
