eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	90000000	11.0217	14368.5	14247	0	32.9018	2.98519	4728.62	4365.99	0	-314.166	117.19	0	0
-1	7000	86117412	5.2854	62.3021	34.3667	0	4.21544	0.797563	56.0773	33.7971	0	0.228651	1.04102	0	0
0	7000	86074175	5.26819	61.3726	33.6188	0	4.19214	0.795745	54.8823	32.7972	0	0.217817	1.0215	0	0
2	7000	41243	38.8173	1843.26	336.485	0	49.1129	1.26523	2312.85	406.424	0	-0.0128138	0.197552	0	0
4	7000	1853	53.2763	3230	391.633	0	78.655	1.47636	4712.91	522.464	0	-0.0196335	0.119208	0	0
6	7000	127	65.4488	4695.17	411.617	0	109.771	1.6772	7798.32	613.958	0	-0.0178373	0.0808135	0	0
