eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	90000000	11.0217	14368.5	14247	0	32.9018	2.98519	4728.62	4365.99	0	-314.166	117.19	0	0
-1	7000	86117412	5.2854	62.3021	34.3667	0	4.21544	0.797563	56.0773	33.7971	0	0.228651	1.04102	0	0
0	7000	86100316	5.27846	61.9211	34.0589	0	4.20526	0.796682	55.5501	33.3528	0	0.223195	1.03296	0	0
2	7000	15890	39.4296	1905.74	351.048	0	53.1653	1.34836	2536.58	440.295	0	-0.0212545	0.200438	0	0
4	7000	1088	49.4651	2876.83	430.032	0	82.2438	1.66266	4692.39	624.2	0	-0.0371091	0.155537	0	0
6	7000	99	56.1717	3556.86	401.597	0	113.623	2.02278	7088.58	706.184	0	-0.0336444	0.109476	0	0
