eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	90000000	11.0217	14368.5	14247	0	32.9018	2.98519	4728.62	4365.99	0	-314.166	117.19	0	0
-1	7000	89992463	13.6084	302.43	117.24	0	10.4669	0.76915	254.794	112.356	0	0.119771	0.559598	0	0
0	7000	89986955	13.6047	302.045	116.958	0	10.4614	0.768953	254.274	111.95	0	0.118946	0.558402	0	0
1	7000	2174	73.9627	6413.39	942.904	0	95.1146	1.28598	8155.3	1120.36	0	-0.0168528	0.158842	0	0
2	7000	3273	75.4018	6628.82	943.396	0	104.303	1.3833	8949.68	1085.04	0	-0.0386889	0.15267	0	0
3	7000	36	102.222	11235.6	786.173	0	175.716	1.71896	18752.8	790.788	0	-0.05365	0.0654537	0	0
4	7000	24	100.125	10886.6	861.609	0	197.103	1.96857	21707	1972.06	0	0.0275241	0.0759584	0	0
5	7000	1	110	12100	0	0	255.484	2.32258	28103.2	0	0	0	-0.00909091	0	0
6	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
