eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	9000	107.305	14710.4	3196.02	0	33.1985	0.309385	4863.98	1301.62	0	0.027168	0.268249	0	0
-1	7000	9000	13.7796	314.686	124.81	0	10.6204	0.770734	266.46	120.116	0	0.12598	0.584752	0	0
0	7000	8987	13.6801	304.488	117.343	0	10.5032	0.767775	255.053	111.368	0	0.113682	0.55392	0	0
1	7000	6	81	7544.33	983.333	0	83.8805	1.03556	7762.53	968.21	0	-0.00763498	0.13753	0	0
2	7000	6	82.3333	6970.67	191.889	0	89.5926	1.08817	7575.77	199.309	0	-0.0014013	0.0161615	0	0
3	7000	1	93	8649	0	0	149.931	1.61216	13943.6	0	0	0	-0.0107527	0	0
4	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
