eta_min = -2.5
eta_max = 2.5
rap_min = -10
rap_max = 10
pt_min = 0.5
pt_max = 900000
all charged particles

NumJet	sqrtS	Nev	<N>	<N^2>	VarN	VarN2p	<Pt>	<pt>	<Pt*N>	CovPtN	CovPtN2p	D	R	D2p	R2p
-1	7000	90000000	11.0217	14368.5	14247	0	32.9018	2.98519	4728.62	4365.99	0	-314.166	117.19	0	0
-1	7000	86117412	5.2854	62.3021	34.3667	0	4.21544	0.797563	56.0773	33.7971	0	0.228651	1.04102	0	0
0	7000	85843645	5.17393	56.4026	29.633	0	4.08252	0.789056	49.3018	28.1791	0	0.179197	0.913692	0	0
2	7000	242581	38.0759	1705.1	255.328	0	42.9087	1.12693	1913.42	279.631	0	-0.00559031	0.149853	0	0
4	7000	26786	55.0732	3275.91	242.855	0	66.1744	1.20157	3920.68	276.239	0	-0.00513303	0.0619117	0	0
6	7000	3803	67.4339	4777.93	230.604	0	84.4455	1.25227	5965.12	270.632	0	-0.00399055	0.0358826	0	0
